	Time	Field	Moment	Temerature	dMoment	Kramer	Jc	Fp	Km	Hnorm	Fpnorm
846	423259.0	2.2336	-0.09278461	4.168	0.18146087	0.52076626	0.03820228842105263	0.08532863141726316	0.23894395056213424	0.5305967312808818	0.9200419309150192
847	423759.0	2.2386	-0.0926027	4.168	0.18110649	0.52054842	0.03812768210526316	0.08535262916084212	0.2388439950642544	0.5317844925883695	0.9203006826373107
848	424259.0	2.2435	-0.09242079	4.168	0.18074694	0.52031577	0.03805198736842105	0.08536963366105263	0.23873725190996561	0.5329484986697074	0.9204840308634344
849	424760.0	2.2485	-0.09225387	4.168	0.18043685	0.52015867	0.037986705263157894	0.08541310678421052	0.23866516581916783	0.5341362599771949	0.9209527726621574
850	425260.0	2.2536	-0.09209853	4.168	0.18013491	0.52001772	0.03792313894736842	0.08546358593178947	0.23860049874053224	0.5353477765108324	0.9214970557666452
851	425760.0	2.2586	-0.09195818	4.168	0.17986812	0.51992048	0.03786697263157895	0.08552634438568421	0.23855587900088723	0.53653553781832	0.9221737384714246
852	426260.0	2.2635	-0.09179671	4.168	0.17956875	0.51976915	0.037803947368421055	0.08556923486842107	0.23848644490162524	0.5376995438996579	0.9226361980456573
853	426761.0	2.2687	-0.09161481	4.168	0.1792681	0.51963187	0.03774065263157895	0.08562221862526316	0.23842345152859745	0.538934815659445	0.9232074866874938
854	427261.0	2.2736	-0.09145402	4.168	0.17901368	0.51954315	0.03768709052631579	0.08568536902063158	0.23838274728673262	0.5400988217407829	0.9238883954367352
855	427762.0	2.2786	-0.09131844	4.168	0.17876623	0.51946915	0.037634995789473685	0.08575510140589473	0.23834879418205254	0.5412865830482706	0.924640273409219
856	428262.0	2.2835	-0.09116242	4.168	0.17847344	0.5193224	0.037573355789473684	0.08579875794526316	0.2382814567133165	0.5424505891296085	0.9251109928630583
857	428763.0	2.2887	-0.09099618	4.168	0.17812866	0.51911564	0.037500770526315785	0.08582801350357894	0.23818659336944029	0.5436858608893956	0.9254264361077907
858	429263.0	2.2936	-0.09082449	4.168	0.17777445	0.5188766	0.0374262	0.08584073232	0.23807691538480477	0.5448498669707336	0.925563574653489
859	429763.0	2.2986	-0.09065825	4.168	0.17743256	0.51865971	0.03735422315789474	0.08586241735073684	0.23797739436106516	0.5460376282782212	0.9257973899300228
860	430263.0	2.3035	-0.09050223	4.168	0.17711213	0.51846711	0.03728676421052632	0.08589006135894738	0.2378890228139549	0.5472016343595592	0.9260954569008603
861	430763.0	2.3087	-0.09038777	4.168	0.17683314	0.51835071	0.03722802947368421	0.08594835164589475	0.23783562109803924	0.5484369061193463	0.9267239623305841
862	431263.0	2.3136	-0.09026854	4.168	0.17656792	0.51823646	0.03717219368421052	0.08600158730778946	0.23778319849310742	0.5496009122006842	0.9272979670972098
863	431763.0	2.3186	-0.09014931	4.167	0.17631399	0.51814325	0.03711873473684211	0.08606349836084211	0.2377404278239938	0.5507886735081718	0.9279655128418144
864	432264.0	2.3235	-0.08999806	4.167	0.17603186	0.51800184	0.037059338947368424	0.08610737404421054	0.23767554767509008	0.5519526795895097	0.9284385951797827
865	432764.0	2.3287	-0.08982705	4.167	0.17571102	0.51781889	0.036991793684210524	0.08614278995242104	0.23759159929082815	0.5531879513492969	0.928820461383821
866	433264.0	2.3336	-0.08964446	4.167	0.17538117	0.51760455	0.03692235157894737	0.08616199964463159	0.23749325549108918	0.5543519574306348	0.9290275867299109
867	433764.0	2.3386	-0.08947345	4.167	0.17506181	0.51740985	0.03685511789473685	0.0861893787086316	0.23740392164412671	0.5555397187381224	0.929322796983384
868	434264.0	2.3436	-0.0893222	4.167	0.17475354	0.51723018	0.036790218947368426	0.08622155712505264	0.23732148573683032	0.55672748004561	0.9296697554647997
869	434764.0	2.3487	-0.08918185	4.167	0.1744551	0.51706926	0.03672738947368421	0.0862616196568421	0.23724764882840108	0.5579389965792474	0.9301017231231661
