4.2K Nb4Ta_D1_1.01mm_210C_48h_410C_50h_670C_48h 11-14-2019
11:27 AM, Thursday, November 14, 2019
File Description: l=4.75mm;d=1.1mm
Vibration Amplitude [mm]: 1.500
Calibrated at 1.5mm; Data apporpriately scaled for reduced amplitude
Vibration Frequency [Hz]: 55.00
Helium Level [%]: 75.0
Center [mm]: 14.26
Operator Name: Nawaraj

Time [ms]	Field [T]	Moment [emu]	Temp [K]	dMoment [emu]	Kramer
108103.00000000	-0.91790000	-0.15467122	4.18400000	0.32796817	0.56055043
108604.00000000	-0.91290000	-0.15519106	4.18400000	0.32910392	0.56075394
109104.00000000	-0.90800000	-0.15571090	4.18400000	0.33023155	0.56095851
109604.00000000	-0.90300000	-0.15629342	4.18400000	0.33138559	0.56116264
110104.00000000	-0.89790000	-0.15687525	4.18400000	0.33256166	0.56136209
110604.00000000	-0.89290000	-0.15741621	4.18400000	0.33369185	0.56153070
111104.00000000	-0.88800000	-0.15793537	4.18400000	0.33473136	0.56163148
111604.00000000	-0.88300000	-0.15849677	4.18400000	0.33585582	0.56178044
112104.00000000	-0.87790000	-0.15905817	4.18400000	0.33703297	0.56194972
112604.00000000	-0.87290000	-0.15966112	4.18400000	0.33824926	0.56215950
113104.00000000	-0.86800000	-0.16026408	4.18400000	0.33943119	0.56234884
113604.00000000	-0.86300000	-0.16084660	4.18400000	0.34059704	0.56250079
114104.00000000	-0.85790000	-0.16138688	4.18400000	0.34175178	0.56261922
114605.00000000	-0.85290000	-0.16192783	4.18400000	0.34288464	0.56272803
115105.00000000	-0.84790000	-0.16248923	4.18400000	0.34401655	0.56282817
115606.00000000	-0.84280000	-0.16305063	4.18400000	0.34515221	0.56290676
116106.00000000	-0.83790000	-0.16359091	4.18400000	0.34626325	0.56299073
116606.00000000	-0.83290000	-0.16419387	4.18400000	0.34745831	0.56311820
117107.00000000	-0.82790000	-0.16481794	4.18500000	0.34869691	0.56327246
117608.00000000	-0.82280000	-0.16544134	4.18500000	0.34993701	0.56340216
118108.00000000	-0.81790000	-0.16606542	4.18500000	0.35117071	0.56355226
118608.00000000	-0.81290000	-0.16666838	4.18500000	0.35236660	0.56364629
119108.00000000	-0.80790000	-0.16727133	4.18500000	0.35360246	0.56376361
119609.00000000	-0.80280000	-0.16787429	4.18500000	0.35479702	0.56382175
120110.00000000	-0.79790000	-0.16847725	4.18500000	0.35594062	0.56386598
120610.00000000	-0.79290000	-0.16334155	4.18500000	0.35138726	0.55936799
121110.00000000	-0.78780000	-0.14720681	4.18500000	0.33585448	0.54598357
121611.00000000	-0.78280000	-0.13866185	4.18500000	0.32784735	0.53857792
122112.00000000	-0.77790000	-0.13718545	4.18500000	0.32687081	0.53693166
122613.00000000	-0.77290000	-0.13855761	4.18500000	0.32876493	0.53761771
123113.00000000	-0.76780000	-0.14063696	4.18500000	0.33142914	0.53889899
123613.00000000	-0.76280000	-0.14275787	4.18500000	0.33413041	0.54020758
124114.00000000	-0.75790000	-0.14477454	4.18500000	0.33672743	0.54142989
